Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ICICIBANK,EQ,07-Dec-07,1200.7,1213,1250,1202.25,1246,1247.6,1226.84,3265191,4005870229,-
ICICIBANK,EQ,10-Dec-07,1247.6,1250.1,1284.8,1237,1273.1,1271.45,1265.63,2610260,3303629999,-
ICICIBANK,EQ,11-Dec-07,1271.45,1271.45,1326.6,1269.9,1304.5,1314.3,1300.86,2800789,3643444927,-
ICICIBANK,EQ,12-Dec-07,1314.3,1275,1312.9,1270,1284.85,1289.9,1293.53,2459895,3181944416,-
ICICIBANK,EQ,13-Dec-07,1289.9,1290,1299.5,1231.1,1248.9,1242.85,1258.83,2395639,3015698130,-
ICICIBANK,EQ,14-Dec-07,1242.85,1210.25,1252.4,1203,1209.35,1206.95,1224.79,2097622,2569154656,-
ICICIBANK,EQ,17-Dec-07,1206.95,1238.8,1238.8,1155,1169,1166.25,1184.6,1853668,2195863345,-
ICICIBANK,EQ,18-Dec-07,1166.25,1170,1181.8,1130.25,1138.25,1137.7,1154.6,3111688,3592769829,-
ICICIBANK,EQ,19-Dec-07,1137.7,1169.35,1174.65,1148.15,1162,1163.4,1163.54,2581321,3003459818,-
ICICIBANK,EQ,20-Dec-07,1163.4,1175,1180,1145.15,1163,1157.5,1155.67,1406846,1625845262,-
