Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
SBIN,EQ,21-Feb-07,1107.75,1099.7,1118,1090.6,1107,1105.9,1106.68,828526,916914094.1,-
SBIN,EQ,22-Feb-07,1105.9,1105,1112,1070,1071.2,1078.05,1087.59,1482241,1612071151,-
SBIN,EQ,23-Feb-07,1078.05,1135,1135,1041,1057.8,1058.2,1062.69,1413837,1502467336,-
SBIN,EQ,26-Feb-07,1058.2,1070,1105.9,1042.1,1104,1088.4,1069.09,877062,937657960.3,-
SBIN,EQ,27-Feb-07,1088.4,1091,1149,1062,1064,1069.15,1080.05,1015137,1096400774,-
SBIN,EQ,28-Feb-07,1069.15,971.6,1098,971.5,1032.15,1041.85,1055.67,1790460,1890136407,-
SBIN,EQ,01-Mar-07,1041.85,1042,1061,1016,1051,1055.65,1039.21,1108823,1152297756,-
SBIN,EQ,02-Mar-07,1055.65,1035,1074.4,991.05,1004.75,1004.9,1044.21,1648832,1721731835,-
SBIN,EQ,05-Mar-07,1004.9,999,1003,955,965.1,962.55,976.71,1655430,1616870602,-
SBIN,EQ,06-Mar-07,962.55,999,999,965,993.1,988.05,983.01,1122601,1103532888,-
SBIN,EQ,07-Mar-07,988.05,998,1001.7,944.35,975,964.4,978.35,1311136,1282748661,-
SBIN,EQ,08-Mar-07,964.4,989,1011,963.1,1001,999.3,991.12,2387409,2366215867,-
SBIN,EQ,09-Mar-07,999.3,1001.1,1024,975,979.45,982.65,997.01,1722523,1717364416,-
SBIN,EQ,12-Mar-07,982.65,990,1001,970.15,975.5,974.2,986.11,1313835,1295581931,-
SBIN,EQ,13-Mar-07,974.2,979,989.5,966.15,979.5,980.4,978.01,999334,977361625.3,-
SBIN,EQ,14-Mar-07,980.4,960,970,942.05,944.85,948,954.2,883408,842945874.7,-
SBIN,EQ,15-Mar-07,948,955,964.7,917.75,918.8,922.1,941.64,1760770,1658016680,-
SBIN,EQ,16-Mar-07,922.1,925,929.75,898.1,911.05,913.6,913.29,1815542,1658114462,-
SBIN,EQ,19-Mar-07,913.6,924.8,929.9,907.1,928.45,926.5,919.64,876028,805634599.6,-
SBIN,EQ,20-Mar-07,926.5,930,960,930,954.55,952.35,945.31,1011387,956073041,-
SBIN,EQ,21-Mar-07,952.35,955,988.35,946.15,986,982.95,969.01,1126518,1091607504,-
SBIN,EQ,22-Mar-07,982.95,992,1035,992,1025,1029.4,1018.15,2518005,2563694607,-
SBIN,EQ,23-Mar-07,1029.4,1034,1042.85,1013,1030.6,1026.2,1027.61,1326523,1363146283,-
SBIN,EQ,26-Mar-07,1026.2,1030,1039.85,1008,1017,1013.65,1021.57,1078620,1101889503,-
SBIN,EQ,28-Mar-07,1013.65,1006,1009.7,967.3,970,973.65,989.13,934898,924737805.2,-
SBIN,EQ,29-Mar-07,973.65,974,1001,956.15,997.5,985.65,971.64,1727324,1678328917,-
SBIN,EQ,30-Mar-07,985.65,990.1,1003,986.35,989.2,994.45,995.5,1291367,1285558735,-
SBIN,EQ,02-Apr-07,994.45,979.4,979.4,922.35,937,930.5,934.07,1133049,1058343966,-
SBIN,EQ,03-Apr-07,930.5,925,947,915,919.7,926.75,930.48,1128332,1049885613,-
SBIN,EQ,04-Apr-07,926.75,938.75,949.8,925.55,932,935.9,938.8,873724,820249791.9,-
